Scan Date,Scan Time,Download Date,Download Time,Reader ID,Antenna ID,HEX Tag ID,DEC Tag ID,"Temperature,C","Signal,mV",Is Duplicate,Latitude,Longitude,File Name
01-10-2023,10:33:16.890,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4767,,,,
01-10-2023,10:33:17.040,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4822,Yes,,,
01-10-2023,10:36:56.860,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4782,Yes,,,
01-10-2023,10:36:57.020,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4791,Yes,,,
01-10-2023,10:36:59.470,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4741,Yes,,,
01-10-2023,10:37:01.630,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4820,Yes,,,
01-10-2023,10:37:02.570,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4779,Yes,,,
01-10-2023,10:37:05.330,01-10-2023,10:40:18,001,001,3DD.0077C58F24,989.002009435940,,4762,Yes,,,
01-10-2023,10:37:34.590,01-10-2023,10:40:18,001,001,3D9.20D4A5667A,985.141006562938,42.6,5487,,,,
